minsup,Pattern,Support
10,10,"[(12,), (12,), (8,), (8,), (7,), (7, 8), (8,)]"
10,12,"[(12,), (12,), (8,), (8,), (7,), (7, 8)]"
10,15,"[(12,), (12,), (8,), (8,), (7,)]"
10,29,"[(12,), (12,), (8,), (8,)]"
10,12,"[(12,), (12,), (8,), (7, 8), (12,)]"
10,14,"[(12,), (12,), (8,), (7, 8), (8,)]"
10,10,"[(12,), (12,), (8,), (7, 8), (7, 8)]"
10,17,"[(12,), (12,), (8,), (7, 8)]"
10,11,"[(12,), (12,), (8,), (7,), (12,), (8,)]"
10,14,"[(12,), (12,), (8,), (7,), (12,)]"
10,10,"[(12,), (12,), (8,), (7,), (8,), (7, 8)]"
10,13,"[(12,), (12,), (8,), (7,), (8,)]"
10,10,"[(12,), (12,), (8,), (7,), (7, 8), (12,)]"
10,11,"[(12,), (12,), (8,), (7,), (7, 8), (8,)]"
10,13,"[(12,), (12,), (8,), (7,), (7, 8)]"
10,10,"[(12,), (12,), (8,), (7,), (7,)]"
10,17,"[(12,), (12,), (8,), (7,)]"
10,42,"[(12,), (12,), (8,)]"
10,11,"[(12,), (12,), (7, 8, 9)]"
10,10,"[(12,), (12,), (7, 8), (12,), (12,), (12,)]"
10,15,"[(12,), (12,), (7, 8), (12,), (12,)]"
10,11,"[(12,), (12,), (7, 8), (12,), (8,)]"
